slug,name,links,oss,license,dev_languages,vector_launch_year,metadata_filter,hybrid_search,facets,geo_search,multi_vec,sparse_vectors,bm25,full_text,embeddings_text,embeddings_image,embeddings_structured,rag,recsys,langchain,llamaindex,managed_cloud,pricing,in_process,multi_tenancy,disk_index,ephemeral,sharding,doc_size,vector_dims,binary_quantization,index_types,github_stars,docker_pulls,pypi_downloads,npm_downloads,crates_io_downloads,int8_quantization
gcpvertexai,GCP Vertex AI Vector Search,"{'docs': 'https://cloud.google.com/vertex-ai/docs/vector-search/overview', 'github': 'https://github.com/GoogleCloudPlatform', 'website': 'https://cloud.google.com/blog/products/ai-machine-learning/vertex-matching-engine-blazing-fast-and-massively-scalable-nearest-neighbor-search', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/83', 'poc_github': 'https://github.com/kazunori279', 'slug': 'gcpvertexai'}",none,,[''],2021,full,none,,,none,none,none,none,none,,,,,full,none,full,,none,,,,,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': ''}",0,,['Tree-AH'],0,0,0,0,0,
hyperspace,Hyperspace,"{'docs': 'https://docs.hyper-space.io/hyperspace-docs', 'github': 'https://github.com/hyper-space-io/', 'website': 'https://www.hyper-space.io/', 'poc_github': 'https://github.com/YanivHyper-Space', 'slug': 'hyper-space'}",none,Proprietary,"['python', 'java']",2023,full,full,partial,full,full,,none,partial,none,none,,,,,,full,Per usage,full,none,,,,"{'bytes': 100000000, 'unlimited': False, 'source_url': '', 'comment': ''}",8192,,,0,0,0,0,0,
kdbai,KDB.AI,"{'docs': 'https://code.kx.com/kdbai/', 'github': 'https://github.com/KxSystems', 'website': 'http://kdb.ai/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/103', 'poc_github': 'https://github.com/sshanks-kx', 'slug': 'kdbai'}",none,Proprietary,['python'],2023,full,full,partial,,,full,full,,,,,,,full,full,full,"Cloud = Free: 4 GB memory per instance, 30 GB data storage, OnPrem = 90-day trial, contact sales",none,,partial,,,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,,"['FLAT', 'IVF', 'IVF-PQ', 'HNSW']",0,0,74337,0,0,
lancedb,LanceDB,"{'docs': 'https://lancedb.github.io/lancedb/', 'github': 'https://github.com/lancedb/lancedb', 'website': 'https://lancedb.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/87', 'poc_github': 'https://github.com/changhiskhan', 'slug': 'lancedb'}",full,Apache-2.0,['rust'],2023,full,full,,,none,,full,full,full,,,,,full,full,full,,full,none,full,,,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': ''}",2048,,"['FLAT', 'IVF-PQ']",6333,0,8262793,1610690,53901,
marqo,Marqo,"{'docs': 'https://docs.marqo.ai/', 'github': 'https://github.com/marqo-ai/marqo', 'website': 'http://marqo.ai/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/73', 'poc_github': 'https://github.com/OwenPendrighElliott', 'slug': 'marqo'}",full,Apache-2.0,['python'],2022,full,full,,,full,none,full,none,full,full,,,,full,none,full,Pricing - Marqo Cloud,none,,,,,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': ''}",0,,['HNSW'],4840,0,285857,258,0,
meilisearch,Meilisearch,"{'docs': 'https://www.meilisearch.com/docs', 'github': 'https://github.com/meilisearch/meilisearch', 'website': 'https://www.meilisearch.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/93', 'poc_github': 'https://github.com/gmourier', 'slug': 'meilisearch'}",full,MIT,['rust'],2023,full,full,full,full,full,none,partial,full,full,none,,,,full,none,full,Meilisearch Pricing,none,full,full,none,none,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",0,,,50975,0,2843130,6566667,0,
milvus,Milvus,"{'docs': 'https://milvus.io/docs', 'github': 'https://github.com/milvus-io/milvus', 'website': 'http://milvus.io/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/71', 'poc_github': 'https://github.com/Enwei%20Jiao', 'slug': 'milvus'}",full,Apache-2.0,"['go', 'c++']",2019,full,full,,none,full,full,full,full,full,,,,,full,full,full,Zilliz Cloud,none,full,full,,full,"{'bytes': 0, 'unlimited': True, 'source_url': 'https://milvus.io/docs/product_faq.md#What-is-the-maximum-dataset-size-Milvus-can-handle', 'comment': 'Milvus is a distributed system, no hard limitations for counts of entities in one collection'}",0,partial,"['FLAT', 'HNSW', 'ANNOY', 'IVF', 'IVF-PQ', 'IVF-BQ', 'IVF-SQ', 'SCANN', 'DiskANN', 'GPU Index']",34486,0,23070477,2770034,4230,partial
mongo,MongoDB Atlas,"{'docs': 'https://www.mongodb.com/docs/atlas/atlas-vector-search/vector-search-overview/', 'github': 'https://github.com/mongodb', 'website': 'https://www.mongodb.com/products/platform/atlas-vector-search', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/72', 'poc_github': 'https://github.com/dvsander', 'slug': 'mongo'}",none,SSPLv1,"['c++', 'java']",2023,full,full,full,full,full,none,full,full,none,,,,,full,full,full,MongoDB Pricing,none,full,full,none,full,"{'bytes': 16000000, 'unlimited': False, 'source_url': '', 'comment': ''}",8192,full,"['FLAT', 'HNSW']",0,4567262184,49792,772852,0,full
myscale,MyScale,"{'docs': 'https://myscale.com/docs/en/vector-search/', 'github': 'https://github.com/myscale/myscaledb', 'website': 'https://myscale.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/101', 'poc_github': 'https://github.com/lqhl', 'slug': 'myscale'}",full,Apache-2.0,['c++'],2023,full,full,full,full,full,none,full,full,full,none,none,none,none,full,full,full,MyScale Pricing,none,full,full,none,full,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': 'As a SQL database, MyScale does not limit the size of each row. However, larger row sizes will impact the performance of selecting related columns.'}",0,,"['FLAT', 'MSTG', 'IVF', 'IVF-PQ', 'IVF-SQ', 'SCANN', 'HNSW']",959,28968,26212,0,0,
neo4j,Neo4j,"{'docs': 'https://neo4j.com/docs/cypher-manual/current/indexes-for-vector-search/', 'github': 'https://github.com/neo4j', 'website': 'https://neo4j.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/96', 'poc_github': 'https://github.com/akollegger', 'slug': 'neo4j'}",none,Proprietary,"['java', 'scala']",2023,full,full,none,full,full,none,none,full,none,none,partial,full,,full,full,full,,full,full,none,none,none,"{'bytes': 0, 'unlimited': True, 'source_url': '', 'comment': ''}",2048,,['HNSW'],0,294274445,47945528,43036,176768,
nucliadb,Nuclia DB,"{'docs': 'https://docs.nuclia.dev/docs/', 'github': 'https://github.com/nuclia/nucliadb', 'website': 'https://nuclia.com/', 'vendor_discussion': 'https://github.com/superlinked/VectorHub/discussions/90', 'poc_github': 'https://github.com/clayrisse', 'slug': 'nucliadb'}",full,AGPLv3,"['rust', 'python']",2021,full,full,full,none,,none,full,full,,,,full,none,full,none,full,,none,,full,none,full,"{'bytes': 0, 'unlimited': False, 'source_url': '', 'comment': 'Max vectors of 50K for any given resource/doc in NucliaDB.'}",0,,['HNSW'],694,0,1082216,11936,0,
